::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.790 ms
::1 - GET / HTTP/1.1 - - - - ms
::1 - GET /article/article-edit HTTP/1.1 302 56 - 61.816 ms
::1 - GET /login HTTP/1.1 200 1102 - 10.422 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 8.438 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 21.188 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 1.334 ms
::1 - POST /login HTTP/1.1 302 46 - 75.554 ms
::1 - GET / HTTP/1.1 200 4893 - 12.214 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 3.409 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 11.268 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 11.916 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.864 ms
::1 - GET /article/article-edit HTTP/1.1 200 1615 - 3.547 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 1.017 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 1.775 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 3.325 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.863 ms
::1 - GET / HTTP/1.1 200 3711 - 67.453 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 11.073 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 18.470 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 19.783 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.922 ms
::1 - GET /article/article-edit HTTP/1.1 302 56 - 22.854 ms
::1 - GET /login HTTP/1.1 200 1102 - 44.024 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 7.399 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 1.440 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 0.922 ms
::1 - POST /login HTTP/1.1 302 46 - 92.646 ms
::1 - GET / HTTP/1.1 200 4893 - 8.531 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.623 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 9.032 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 8.781 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.704 ms
::1 - GET /article/article-edit HTTP/1.1 200 1615 - 7.616 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 1.332 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 3.401 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 13.135 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.931 ms
::1 - GET /logout HTTP/1.1 302 44 - 1.296 ms
::1 - GET / HTTP/1.1 200 3711 - 13.984 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 4.736 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 12.312 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 6.174 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.949 ms
::1 - GET /article/article-edit HTTP/1.1 302 56 - 1.115 ms
::1 - GET /login HTTP/1.1 200 1102 - 4.277 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 3.154 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 7.936 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 0.867 ms
::1 - POST /login HTTP/1.1 302 46 - 2.197 ms
::1 - GET / HTTP/1.1 200 4893 - 5.517 ms
